D_bbox_diag_m,D_bbox_diag_m_robust,align_residual_rmse_m,alignment_scale_s,chamfer_gt2pred_m,chamfer_pred2gt_m,chamfer_symmetric_m,cov5pctD_N_gt,cov5pctD_N_gt_outside,cov5pctD_N_gt_within,cov5pctD_N_pred,cov5pctD_N_pred_outside,cov5pctD_N_pred_within,cov5pctD_within_ratio_gt,cov5pctD_within_ratio_pred,dataset_id,frames_S,fscore_0.010m,fscore_0.020m,fscore_0.050m,fscore_1pctD,fscore_2pctD,fscore_5pctD,geometry_gate,median_nn_gt2pred,median_nn_pred2gt,p90_nn_gt2pred,p90_nn_pred2gt,p95_nn_gt2pred,p95_nn_pred2gt,pose_gate,precision_0.010m,precision_0.020m,precision_0.050m,precision_1pctD,precision_2pctD,precision_5pctD,recall_0.010m,recall_0.020m,recall_0.050m,recall_1pctD,recall_2pctD,recall_5pctD,reference_frame_auditable,result_set,sequence_id,truncated_inlier_diagnostic_only,truncated_inlier_nn_median_m,truncated_inlier_nn_p90_m,truncated_n_beyond
0.951307,0.9513,0.0293,1.0905,0.003923,0.151006,0.088137,223965.0,12.0,223953.0,300000.0,207680.0,92320.0,0.999946,0.307733,plant_view_3d,320,0.156027,0.293354,0.480511,0.147361,0.283085,0.47063,not_yet_established,0.003687,0.12657,0.006085,0.331861,0.00693,0.383206,True,0.08467,0.171957,0.316237,0.0796,0.164947,0.307733,0.992285,0.997714,0.999955,0.990829,0.997553,0.999946,True,full_scene,plantview__langdon_4__05-03-24,True,0.017588,0.039447,207680.0
0.951307,0.9513,0.0293,1.0905,0.002581,0.017013,0.010844,223965.0,8.0,223957.0,300000.0,11042.0,288958.0,0.999964,0.963193,plant_view_3d,320,0.614067,0.86395,0.983636,0.592417,0.851124,0.981234,not_yet_established,0.002233,0.01128,0.004427,0.031618,0.005248,0.042185,True,0.443853,0.761297,0.967833,0.42163,0.741687,0.963193,0.99604,0.998602,0.999964,0.995763,0.998446,0.999964,True,plant_foreground_only_pred,plantview__langdon_4__05-03-24,True,0.010845,0.027609,11042.0
1.003591,1.0036,0.768,1.3069,0.709018,1.226541,1.011317,213588.0,213588.0,0.0,300000.0,300000.0,0.0,0.0,0.0,plant_view_3d,320,0.0,0.0,0.0,0.0,0.0,0.0,not_yet_established,0.69492,1.158787,0.874538,1.625756,0.923555,1.822015,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,full_scene,plantview__langdon_4__12-03-24,True,,,300000.0
1.003591,1.0036,0.768,1.3069,0.853078,1.080432,0.985881,213588.0,213588.0,0.0,300000.0,300000.0,0.0,0.0,0.0,plant_view_3d,320,0.0,0.0,0.0,0.0,0.0,0.0,not_yet_established,0.854422,1.06376,1.055746,1.26986,1.104176,1.325783,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,plant_foreground_only_pred,plantview__langdon_4__12-03-24,True,,,300000.0
0.949177,0.9492,0.033,1.0325,0.003963,0.155225,0.104414,151749.0,79.0,151670.0,300000.0,220417.0,79583.0,0.999479,0.265277,plant_view_3d,340,0.118991,0.248666,0.428692,0.111574,0.237724,0.419272,not_yet_established,0.003273,0.139353,0.006228,0.323655,0.008505,0.3729,True,0.06342,0.142157,0.272857,0.059237,0.135077,0.265277,0.961449,0.991631,0.999572,0.957944,0.990194,0.999479,True,full_scene,plantview__langdon_4__13-02-24,True,0.018641,0.039436,220417.0
0.949177,0.9492,0.033,1.0325,0.002922,0.018354,0.01317,151749.0,61.0,151688.0,300000.0,9305.0,290695.0,0.999598,0.968983,plant_view_3d,340,0.530592,0.829144,0.986179,0.507504,0.809968,0.984053,not_yet_established,0.00192,0.013308,0.004457,0.031506,0.007678,0.04008,True,0.366683,0.715677,0.973047,0.345227,0.68827,0.968983,0.959486,0.985371,0.999671,0.95766,0.983947,0.999598,True,plant_foreground_only_pred,plantview__langdon_4__13-02-24,True,0.012896,0.028712,9305.0
0.906241,0.9062,0.0501,0.9638,0.004294,0.137266,0.08555,190940.0,32.0,190908.0,300000.0,207206.0,92794.0,0.999832,0.309313,plant_view_3d,338,0.142036,0.282116,0.492729,0.126644,0.259083,0.472463,not_yet_established,0.003594,0.111696,0.006728,0.305449,0.009178,0.35965,True,0.076713,0.16446,0.326913,0.06785,0.149127,0.309313,0.956599,0.99129,0.999885,0.948827,0.986352,0.999832,True,full_scene,plantview__langdon_4__20-02-24,True,0.018788,0.038203,207206.0
0.906241,0.9062,0.0501,0.9638,0.002993,0.016946,0.011519,190940.0,38.0,190902.0,300000.0,13051.0,286949.0,0.999801,0.956497,plant_view_3d,338,0.570389,0.82632,0.983718,0.530419,0.795696,0.97767,not_yet_established,0.002189,0.012527,0.004624,0.034093,0.006628,0.043303,True,0.40442,0.709487,0.968047,0.36596,0.66677,0.956497,0.967398,0.989217,0.999906,0.963334,0.98643,0.999801,True,plant_foreground_only_pred,plantview__langdon_4__20-02-24,True,0.011925,0.029787,13051.0
,,0.0824,4.4195,,,,,,,,,,,,wheat3dgs,36,,,,,,,not_yet_established,,,,,,,True,,,,,,,,,,,,,False,full_scene,wheat3dgs__plot_463,True,,,
,,0.0824,4.4195,,,,,,,,,,,,wheat3dgs,36,,,,,,,not_yet_established,,,,,,,True,,,,,,,,,,,,,False,plant_foreground_only_pred,wheat3dgs__plot_463,True,,,
,,0.1208,3.2626,,,,,,,,,,,,mustc,20,,,,,,,not_yet_established,,,,,,,True,,,,,,,,,,,,,False,full_scene,mustc__plot198__230613__ugv__pos00,True,,,
