sequence_id,regime,height_robust_m,bbox_width_x_robust_m,bbox_xy_diagonal_robust_m,pca_major_width_m,pca_minor_width_m
plantview__langdon_4__05-03-24,all,0.3928,0.5352,0.9878,1.1684,1.5636
plantview__langdon_4__05-03-24,remove_gt_50mm,0.3796,0.522,0.9761,0.9964,0.6616
plantview__langdon_4__05-03-24,remove_gt_20mm,0.3489,0.5119,0.9637,0.9718,0.6398
plantview__langdon_4__05-03-24,statistical_outlier,0.3801,0.5229,0.9781,1.0244,0.7021
plantview__langdon_4__05-03-24,robust_percentile_only,0.3928,0.5352,0.9878,,
plantview__langdon_4__12-03-24,all,0.7519,0.8267,1.1697,1.5012,1.2292
plantview__langdon_4__12-03-24,statistical_outlier,0.5195,0.7681,1.1135,1.5264,0.8829
plantview__langdon_4__12-03-24,robust_percentile_only,0.7519,0.8267,1.1697,,
plantview__langdon_4__13-02-24,all,0.3657,0.3767,0.9115,1.0675,0.9952
plantview__langdon_4__13-02-24,remove_gt_50mm,0.3489,0.358,0.86,0.9427,0.5173
plantview__langdon_4__13-02-24,remove_gt_20mm,0.3526,0.3543,0.8463,0.9295,0.501
plantview__langdon_4__13-02-24,statistical_outlier,0.3495,0.3601,0.8613,0.9702,0.5282
plantview__langdon_4__13-02-24,robust_percentile_only,0.3657,0.3767,0.9115,,
plantview__langdon_4__20-02-24,all,0.3154,0.3126,0.7946,1.0243,0.834
plantview__langdon_4__20-02-24,remove_gt_50mm,0.3068,0.2955,0.7813,0.9255,0.4582
plantview__langdon_4__20-02-24,remove_gt_20mm,0.2856,0.2643,0.7626,0.9151,0.3826
plantview__langdon_4__20-02-24,statistical_outlier,0.3079,0.2975,0.7831,0.931,0.4643
plantview__langdon_4__20-02-24,robust_percentile_only,0.3154,0.3126,0.7946,,
