model,sequence_id,pose_fail,n_frames,n_valid_frames,raw_absrel_mean,raw_absrel_median,raw_absrel_std,raw_absrel_p90,raw_rmse_mean,raw_rmse_median,raw_rmse_std,raw_mae_mean,raw_delta1_mean,aligned_absrel_mean,scale_mean,scale_median,scale_std,scale_cv
vggt,plantview__langdon_4__05-03-24,False,320,320,0.20499118309277287,0.2085519894420385,0.07889544395634632,0.3133449569420029,0.43285591414924174,0.40591265361402284,0.16612740835375808,0.2953446267825039,0.36182109126339446,0.1800188170291814,1.2696273674129355,1.2363469154560338,0.21431645086042656,0.16880263954701125
da3,plantview__langdon_4__05-03-24,False,320,320,0.5930198913931986,0.5866868252212146,0.050567549245010834,0.6623047251339914,0.8176030986081425,0.8456671858155032,0.1489781195387108,0.750705670860572,0.0004936520703947262,0.20056211213124292,2.5688953760708615,2.4271661378237765,0.4610952142165939,0.17949162839081495
unidepth,plantview__langdon_4__05-03-24,False,320,320,0.3490968595969367,0.295484638612722,0.18521196180583768,0.5932517463287837,0.4862197046266797,0.4236845424014519,0.21691669679698264,0.4079498965620315,0.1601107737753184,0.16361764035544063,1.0118794152943285,0.8747120092641559,0.4405220329851602,0.43535032566802856
vggt,plantview__langdon_4__12-03-24,True,320,320,0.29934509498100315,0.28825609807457625,0.0504115464699307,0.36129536079268837,0.545749552282901,0.47669184435029655,0.15513141813808162,0.43589685705606984,0.05090263247072058,0.20291910479077124,1.5270858498975677,1.4668471555873452,0.24077254360082018,0.15766798154600836
da3,plantview__langdon_4__12-03-24,True,320,320,0.5965410983454669,0.5927177340680587,0.0372489990867494,0.6477528876149844,0.8722019810425735,0.8118519446891558,0.15230848915255343,0.810118569418908,0.0003687440891451088,0.20846659873035306,2.6826607363391863,2.604973111514705,0.43565850443644344,0.16239791283893465
unidepth,plantview__langdon_4__12-03-24,True,320,320,0.389888745412941,0.37553767062276017,0.1405860264174008,0.5983583098034482,0.5445354603547177,0.5264438261353437,0.19167107456784693,0.47677874293584344,0.1219768729285059,0.1676466924328388,0.9657557226066252,0.7756120083985155,0.4883760403820483,0.5056931364215951
vggt,plantview__langdon_4__13-02-24,False,340,340,0.17101455927871795,0.1585835179579665,0.06281670197301001,0.25946514657881037,0.3369421784420393,0.32447374211243885,0.12553814322552298,0.2171260261900651,0.44207151943233813,0.1518477393805064,1.1345823449520667,1.112080255414326,0.17574987534229877,0.1549027059377729
da3,plantview__langdon_4__13-02-24,False,340,340,0.5474840524416483,0.5411230204184958,0.049232470302351346,0.6127674987779402,0.6728682730125529,0.6927470558198454,0.12394523197166867,0.6150639134003157,0.0012940483633498215,0.16404642352761772,2.2112351642522126,2.1772055483253068,0.3279581581482513,0.14831446399286935
unidepth,plantview__langdon_4__13-02-24,False,340,340,0.37092579651066593,0.366680862967915,0.16805224949719488,0.5792841825207736,0.43192647844989135,0.4068373143603759,0.1664344387348434,0.3803815337047729,0.12210663691000397,0.13230465316176018,1.0858748252109223,0.8597122009584472,0.5221832755905117,0.4808871736105328
vggt,plantview__langdon_4__20-02-24,False,338,338,0.19284244777239973,0.1790910050466089,0.06364184424468833,0.28995803364941053,0.37420583487453085,0.3104246033307097,0.21810823122404735,0.2335175264281251,0.37952516388165236,0.1949718377327602,1.1107314777082542,1.0514569259708764,0.24562974448699057,0.22114232775125142
da3,plantview__langdon_4__20-02-24,False,338,338,0.5385815468053912,0.548352565987446,0.0632145767708526,0.6165610343325784,0.6988247620520559,0.7025156999921847,0.2085105244752009,0.610544537998407,0.0017735656340691188,0.20599070232391248,2.255452880804475,2.137452953883196,0.5002575210673285,0.22179914522927058
unidepth,plantview__langdon_4__20-02-24,False,338,338,0.4366131668805318,0.4231184128934766,0.16603813098279047,0.6621702070851224,0.5088539221627797,0.4744482944000564,0.2188462504728732,0.43068328391997523,0.09721405242816135,0.16703477187946658,0.9552897663243065,0.7400254474541343,0.4721062303414894,0.4942021227318544
