seq_id,pose_fail,model,n_frames,abs_rel_mean,abs_rel_median,rmse_mean,rmse_median,delta1_mean,scale_mean,scale_median,scale_cv
plantview__langdon_4__05-03-24,False,vggt,320,0.20499118309277287,0.2085519894420385,0.43285591414924174,0.40591265361402284,0.36182109126339446,1.2696273674129355,1.2363469154560338,0.16880263954701125
plantview__langdon_4__05-03-24,False,da3_metric,320,0.215699680817045,0.2049213723416269,0.4226428202106929,0.40719896850969367,0.29553441166845784,1.2042782594492931,1.1378366795075856,0.17949162781613998
plantview__langdon_4__05-03-24,False,unidepth_auto,320,0.3490968595969367,0.295484638612722,0.4862197046266797,0.4236845424014519,0.1601107737753184,1.0118794152943285,0.8747120092641559,0.43535032566802856
plantview__langdon_4__05-03-24,False,unidepth_calK,2,0.9141175746798287,0.9141175746798287,0.9374746653979269,0.9374746653979269,0.056836263070162145,0.5835488382612385,0.5835488382612385,0.3596369344709464
plantview__langdon_4__12-03-24,True,vggt,320,0.29934509498100315,0.28825609807457625,0.545749552282901,0.47669184435029655,0.05090263247072058,1.5270858498975677,1.4668471555873452,0.15766798154600836
plantview__langdon_4__12-03-24,True,da3_metric,320,0.19985828215923243,0.1752472608481026,0.42352428383159735,0.3699397827505378,0.3293940792911095,1.257610579640247,1.221191259712993,0.1623979135062664
plantview__langdon_4__12-03-24,True,unidepth_auto,320,0.389888745412941,0.37553767062276017,0.5445354603547177,0.5264438261353437,0.1219768729285059,0.9657557226066252,0.7756120083985155,0.5056931364215951
plantview__langdon_4__12-03-24,True,unidepth_calK,2,0.3782360024477004,0.3782360024477004,0.7256112719516262,0.7256112719516262,0.24634994697773066,2.065410831653884,2.065410831653884,0.5314649224624051
plantview__langdon_4__13-02-24,False,vggt,340,0.17101455927871795,0.1585835179579665,0.3369421784420393,0.32447374211243885,0.44207151943233813,1.1345823449520667,1.112080255414326,0.1549027059377729
plantview__langdon_4__13-02-24,False,da3_metric,340,0.1882986727294276,0.189115321507619,0.3222377098939094,0.2980372956732321,0.3578948623532162,1.036609920088091,1.0206570789531644,0.14831446426100156
plantview__langdon_4__13-02-24,False,unidepth_auto,340,0.37092579651066593,0.366680862967915,0.43192647844989135,0.4068373143603759,0.12210663691000397,1.0858748252109223,0.8597122009584472,0.4808871736105328
plantview__langdon_4__13-02-24,False,unidepth_calK,2,0.38516463847889737,0.38516463847889737,0.38395410686590836,0.38395410686590836,0.13947324792091054,0.9028397049750128,0.9028397049750128,0.3431304087338574
plantview__langdon_4__20-02-24,False,vggt,338,0.19284244777239973,0.1790910050466089,0.37420583487453085,0.3104246033307097,0.37952516388165236,1.1107314777082542,1.0514569259708764,0.22114232775125142
plantview__langdon_4__20-02-24,False,da3_metric,338,0.23108983065286096,0.22788390397184288,0.3906490827867984,0.34351109781732136,0.2836427618324765,1.0573388454706392,1.0020214193503283,0.2217991442243568
plantview__langdon_4__20-02-24,False,unidepth_auto,338,0.4366131668805318,0.4231184128934766,0.5088539221627797,0.4744482944000564,0.09721405242816135,0.9552897663243065,0.7400254474541343,0.4942021227318544
plantview__langdon_4__20-02-24,False,unidepth_calK,2,0.6208873560407132,0.6208873560407132,0.5880653313331964,0.5880653313331964,0.22979743364722688,0.7090719113201649,0.7090719113201649,0.2593947194003083
