sequence,pilot_index,original_index,filename,auto_absrel,auto_rmse,auto_scale,calK_absrel,calK_rmse,calK_scale,delta_absrel,delta_rmse,calK_wins_absrel,calK_wins_rmse
plantview__langdon_4__05-03-24,0,0,0000_eval.png,0.3255880022790903,0.3875005124614606,0.8061231691105009,0.33279092459545856,0.3943497301778495,0.7934145535675924,0.007202922316368265,0.006849217716388911,0,0
plantview__langdon_4__05-03-24,1,16,0016_eval.png,0.5006582173059047,0.5161652943990084,0.6677867735556818,0.5559613307988853,0.5666413159209055,0.6377673063363335,0.05530311349298067,0.05047602152189712,0,0
plantview__langdon_4__05-03-24,2,32,0032_eval.png,0.9937147211104149,1.1875898860103706,0.5678926498080898,1.0722664697821387,1.2818470740742032,0.5460504800220382,0.07855174867172376,0.09425718806383254,0,0
plantview__langdon_4__05-03-24,3,48,0048_eval.png,0.41530512911648065,0.42010094262039077,0.7245337107786226,0.46941952390304803,0.46553267843736695,0.6910196560536046,0.05411439478656738,0.04543173581697618,0,0
plantview__langdon_4__05-03-24,4,64,0064_eval.png,0.2329623691964309,0.3131018213804954,1.0568178647107829,0.2340969867729385,0.3255737435943714,1.020437207967361,0.001134617576507596,0.012471922213875997,0,0
plantview__langdon_4__05-03-24,5,80,0080_eval.png,0.5932151446099921,0.8037825013801819,0.6151169626366245,0.6589681527785778,0.8466920401578117,0.586302037022029,0.06575300816858565,0.04290953877762982,0,0
plantview__langdon_4__05-03-24,6,96,0096_eval.png,0.24163614933336117,0.34290028307432274,1.2238267226199675,0.24233267869190714,0.32533117326346284,1.182090393245457,0.000696529358545972,-0.017569109810859906,0,1
plantview__langdon_4__05-03-24,7,112,0112_eval.png,0.5860552358186595,0.5667876882356059,0.627204374220338,0.6628279059793096,0.6376340657245153,0.5938666095835808,0.07677267016065015,0.07084637748890943,0,0
plantview__langdon_4__05-03-24,8,128,0128_eval.png,0.29305920818641723,0.5126715282900705,1.554473912954137,0.2917342314198134,0.5107722027689566,1.5509389480813673,-0.0013249767666038137,-0.001899325521113826,1,1
plantview__langdon_4__05-03-24,9,144,0144_eval.png,0.1544919312374902,0.25963817688135626,0.9675034683389577,0.19131699910199343,0.2636314108738089,0.9212186132256645,0.036825067864503236,0.0039932339924526605,0,0
plantview__langdon_4__05-03-24,10,160,0160_eval.png,0.2406790171343586,0.327871985666841,1.0065637094553737,0.261197043169748,0.3600828555011674,0.9756483014922611,0.02051802603538941,0.03221086983432642,0,0
plantview__langdon_4__05-03-24,11,176,0176_eval.png,0.24145990737628228,0.2869123746159431,0.861736475342697,0.276272309522358,0.3060589035597323,0.8276350874083692,0.0348124021460757,0.01914652894378921,0,0
plantview__langdon_4__05-03-24,12,192,0192_eval.png,0.23077957349267134,0.34204054545395146,0.9734354978041935,0.2612441575237065,0.3868730762935217,0.9392031948138,0.030464584031035163,0.04483253083957023,0,0
