plant_id,date,growth_week,dataset,sequence_id,rgb_available,n_rgb,reference_camera_available,plant_mask_available,depth_available,scanner_gt_available,canopy_density_label,background_fraction,occlusion_label,selected_for_pose_benchmark,reason
wheat_461,2023-06-30,unknown,Wheat3DGS,wheat3dgs__plot_461,True,72,True,True,True,False,LOW,0.9357516167262495,unknown,True,"independent plant, COLMAP poses, multi-view"
wheat_462,2023-06-30,unknown,Wheat3DGS,wheat3dgs__plot_462,True,72,True,True,True,False,LOW,0.933596877987529,unknown,True,"independent plant, COLMAP poses, multi-view"
wheat_463,2023-06-30,unknown,Wheat3DGS,wheat3dgs__plot_463,True,72,True,True,True,False,MEDIUM,0.9228197604786517,unknown,True,"independent plant, COLMAP poses, multi-view"
wheat_464,2023-06-30,unknown,Wheat3DGS,wheat3dgs__plot_464,True,72,True,True,True,False,LOW,0.9261331125082244,unknown,True,"independent plant, COLMAP poses, multi-view"
wheat_465,2023-06-30,unknown,Wheat3DGS,wheat3dgs__plot_465,True,72,True,True,True,False,LOW,0.9283435904766792,unknown,True,"independent plant, COLMAP poses, multi-view"
wheat_466,2023-06-30,unknown,Wheat3DGS,wheat3dgs__plot_466,True,72,True,True,True,False,LOW,0.9337571046062719,unknown,True,"independent plant, COLMAP poses, multi-view"
wheat_467,2023-06-30,unknown,Wheat3DGS,wheat3dgs__plot_467,True,72,True,True,True,False,MEDIUM,0.9181685436468622,unknown,True,"independent plant, COLMAP poses, multi-view"
langdon_4,05-03-24,unknown,3DPlantView,plantview__langdon_4__05-03-24,True,320,True,True,False,False,HIGH,0.8944893475651577,unknown,True,"longitudinal multi-date, known failures"
langdon_4,12-03-24,unknown,3DPlantView,plantview__langdon_4__12-03-24,True,320,True,True,False,False,HIGH,0.890823688271605,unknown,True,"longitudinal multi-date, known failures"
langdon_4,13-02-24,unknown,3DPlantView,plantview__langdon_4__13-02-24,True,340,True,True,False,False,MEDIUM,0.9138050840192044,unknown,True,"longitudinal multi-date, known failures"
langdon_4,15-04-24,unknown,3DPlantView,plantview__langdon_4__15-04-24,True,318,True,True,False,False,MEDIUM,0.8987955461248286,unknown,True,"longitudinal multi-date, known failures"
langdon_4,19-03-24,unknown,3DPlantView,plantview__langdon_4__19-03-24,True,320,True,True,False,False,HIGH,0.8879028420781893,unknown,True,"longitudinal multi-date, known failures"
langdon_4,20-02-24,unknown,3DPlantView,plantview__langdon_4__20-02-24,True,338,True,True,False,False,HIGH,0.8966062242798354,unknown,True,"longitudinal multi-date, known failures"
mustc_plot198,230613,unknown,MuST-C,mustc__plot198__230613__ugv__pos00,True,36,True,False,True,False,TBD,-1,unknown,True,"independent plant, different crop type"
mustc_plot198,230613,unknown,MuST-C,mustc__plot198__230613__ugv__pos01,True,36,True,False,True,False,TBD,-1,unknown,True,"independent plant, different crop type"
mustc_plot198,230613,unknown,MuST-C,mustc__plot198__230613__ugv__pos02,True,36,True,False,True,False,TBD,-1,unknown,True,"independent plant, different crop type"
mustc_plot198,230613,unknown,MuST-C,mustc__plot198__230613__ugv__pos03,True,36,True,False,True,False,TBD,-1,unknown,True,"independent plant, different crop type"
