sequence_id,plant_id,dataset,canopy_fraction_mean,canopy_fraction_median,canopy_fraction_p90,background_fraction_mean,background_fraction_median,edge_density_mean,n_sampled_views,density_class
wheat3dgs__plot_461,wheat_461,Wheat3DGS,0.06424838327375043,0.05677549716268007,0.08640347488144551,0.9357516167262495,0.9432245028373198,0.0037335393059692128,8,LOW
wheat3dgs__plot_462,wheat_462,Wheat3DGS,0.06640312201247092,0.06216665545547015,0.0899377432065245,0.933596877987529,0.9378333445445299,0.004037284362826934,8,LOW
wheat3dgs__plot_463,wheat_463,Wheat3DGS,0.07718023952134838,0.07560405846203282,0.09528707951531276,0.9228197604786517,0.9243959415379672,0.004627016040330421,8,MEDIUM
wheat3dgs__plot_464,wheat_464,Wheat3DGS,0.0738668874917755,0.07314864339051977,0.08856286044167792,0.9261331125082244,0.9268513566094803,0.004307569235494963,8,LOW
wheat3dgs__plot_465,wheat_465,Wheat3DGS,0.07165640952332081,0.07358320280268246,0.09727790851206461,0.9283435904766792,0.9264167971973176,0.004114892223631383,8,LOW
wheat3dgs__plot_466,wheat_466,Wheat3DGS,0.0662428953937281,0.06852121187625167,0.08672834123883928,0.9337571046062719,0.9314787881237483,0.0039229246580075525,8,LOW
wheat3dgs__plot_467,wheat_467,Wheat3DGS,0.08183145635313785,0.07626350685460438,0.10543504350043667,0.9181685436468622,0.9237364931453956,0.004957850085735549,8,MEDIUM
plantview__langdon_4__05-03-24,langdon_4,3DPlantView,0.10551065243484226,0.10157407407407407,0.1373602537722908,0.8944893475651577,0.898425925925926,0.019339956275720167,8,HIGH
plantview__langdon_4__12-03-24,langdon_4,3DPlantView,0.10917631172839506,0.11413537379972566,0.13214617626886144,0.890823688271605,0.8858646262002743,0.018460005144032923,8,HIGH
plantview__langdon_4__13-02-24,langdon_4,3DPlantView,0.08619491598079562,0.08976723251028806,0.09933281893004116,0.9138050840192044,0.9102327674897119,0.013392061042524005,8,MEDIUM
plantview__langdon_4__15-04-24,langdon_4,3DPlantView,0.10120445387517146,0.10705418381344307,0.127590877914952,0.8987955461248286,0.8929458161865569,0.01911715534979424,8,MEDIUM
plantview__langdon_4__19-03-24,langdon_4,3DPlantView,0.11209715792181069,0.11123928326474622,0.14678377914951987,0.8879028420781893,0.8887607167352538,0.017474922839506173,8,HIGH
plantview__langdon_4__20-02-24,langdon_4,3DPlantView,0.1033937757201646,0.100982938957476,0.12464043209876542,0.8966062242798354,0.899017061042524,0.01632844650205761,8,HIGH
