sequence,window_a,window_b,n_overlap,n_inliers,Q_dispersion_median,Q_dispersion_p90,Q_dispersion_max,status
mustc__plot198__230613__ugv__pos00,0,1,8,8,2.8501062861274207,5.3057122355862525,6.6428939361751045,OK
plantview__langdon_4__05-03-24,0,1,8,8,0.615863881639956,2.955913626210845,2.982619392298163,OK
plantview__langdon_4__05-03-24,1,2,8,8,0.0,1.6204502938387395,2.219561463594905,OK
plantview__langdon_4__05-03-24,2,3,8,8,0.6931132222490978,2.99759318047761,3.2121875231229224,OK
plantview__langdon_4__05-03-24,3,4,8,5,0.19390604287832594,1.2547974961829695,1.616512234115256,OK
plantview__langdon_4__05-03-24,4,5,8,8,0.7711867463293547,2.803006856648499,3.7108410873566773,OK
plantview__langdon_4__05-03-24,5,6,8,5,0.2579886702977918,1.3440935940205214,1.3617488470977743,OK
plantview__langdon_4__05-03-24,6,7,8,8,1.5806586091181052,3.957656663191885,4.40987234369379,OK
plantview__langdon_4__05-03-24,7,8,8,8,1.816359638884288,2.0061177993770425,2.1881506631499867,OK
plantview__langdon_4__05-03-24,8,9,8,8,8.164661946162905,10.476468856842137,11.285655950259923,OK
plantview__langdon_4__05-03-24,9,10,8,6,0.3838336267473799,2.034189236929767,2.763263040733287,OK
plantview__langdon_4__05-03-24,10,11,8,8,1.620268960674908,3.9708233391730494,4.572171807939345,OK
plantview__langdon_4__05-03-24,11,12,8,8,2.193581210128392,2.55224725883465,2.7342436695239267,OK
plantview__langdon_4__05-03-24,12,13,8,8,1.2294644979339004,2.7542621469068655,2.8408333293688544,OK
plantview__langdon_4__05-03-24,13,14,8,8,0.3163196525551933,1.6560879448067187,1.7552732051539464,OK
plantview__langdon_4__05-03-24,14,15,8,8,0.4744025557713197,2.3885783316376425,3.611067682547513,OK
plantview__langdon_4__05-03-24,15,16,8,8,1.2372053152722393,1.9903594573524952,1.9988275380417386,OK
plantview__langdon_4__05-03-24,16,17,8,8,0.0,3.0021822898650115,3.3926583213460724,OK
plantview__langdon_4__05-03-24,17,18,8,8,0.0,0.9200785968985719,2.345145494165659,OK
plantview__langdon_4__05-03-24,18,19,8,8,1.7525824083416668,3.508068256421603,3.5460379297410567,OK
plantview__langdon_4__05-03-24,19,20,8,7,0.24926123729299035,1.3375940457868476,1.5205442417200892,OK
plantview__langdon_4__05-03-24,20,21,8,8,1.998359284282452,2.7164582779821167,2.942863103008742,OK
plantview__langdon_4__05-03-24,21,22,8,8,1.4476595054664743,2.4998328862433956,2.528318859394577,OK
plantview__langdon_4__05-03-24,22,23,8,8,2.6817301746934703,3.837056303159102,4.564595265816682,OK
plantview__langdon_4__05-03-24,23,24,8,8,0.22544942889999964,0.9176824739336918,1.041738880432793,OK
plantview__langdon_4__05-03-24,24,25,8,8,2.6683311144399977,3.483441406456491,3.6472208275508073,OK
plantview__langdon_4__05-03-24,25,26,8,8,0.5482988595560702,1.6230781924146258,1.8619581161654684,OK
plantview__langdon_4__05-03-24,26,27,8,8,1.7345230155947946,4.089320060572491,4.534365129476714,OK
plantview__langdon_4__05-03-24,27,28,8,8,0.0,1.7072931383471246,2.1464200166352576,OK
plantview__langdon_4__05-03-24,28,29,8,5,0.0,3.5000507674797268,4.539505669163841,OK
plantview__langdon_4__05-03-24,29,30,8,7,0.30718349184204347,1.5358177905417265,1.770313073197748,OK
plantview__langdon_4__05-03-24,30,31,8,8,1.7497448114232328,4.597341848717466,4.947213154658146,OK
plantview__langdon_4__05-03-24,31,32,8,8,0.5126397112331581,1.3359549392003909,1.3846573110745781,OK
plantview__langdon_4__05-03-24,32,33,8,6,0.6150268265989359,4.616111494793325,5.175861397851329,OK
plantview__langdon_4__05-03-24,33,34,8,7,0.35113953376801615,1.4556392109272895,2.253674906530471,OK
plantview__langdon_4__05-03-24,34,35,8,8,0.0,3.1183118466447826,3.8953971480648977,OK
plantview__langdon_4__05-03-24,35,36,8,8,0.0,1.590277227542179,2.0167442547450842,OK
plantview__langdon_4__05-03-24,36,37,8,8,2.002643892269518,3.109647998557971,3.441391516918949,OK
plantview__langdon_4__05-03-24,37,38,8,8,0.3858416064833375,1.5915450394528223,1.8695401064666264,OK
plantview__langdon_4__12-03-24,0,1,8,8,0.9550756318588587,4.301734408474407,4.347762943258156,OK
plantview__langdon_4__12-03-24,1,2,8,8,0.0,1.9536030451974329,2.069669075117357,OK
plantview__langdon_4__12-03-24,2,3,8,8,0.0,1.8709893848331398,2.082669004534984,OK
plantview__langdon_4__12-03-24,3,4,8,8,0.4575118759132625,1.4108432681045122,1.5862023607673896,OK
plantview__langdon_4__12-03-24,4,5,8,7,0.5848442874350521,2.511399488195727,2.973393419614643,OK
plantview__langdon_4__12-03-24,5,6,8,6,0.11970219798403768,1.3045171384304597,1.4599235116088733,OK
plantview__langdon_4__12-03-24,6,7,8,8,1.4090750643686498,4.469194030899728,4.608183691699355,OK
plantview__langdon_4__12-03-24,7,8,8,8,0.0,0.7087666018209553,0.9712983745344955,OK
plantview__langdon_4__12-03-24,8,9,8,8,2.1787839674255234,3.4416858900461254,3.4863873201767723,OK
plantview__langdon_4__12-03-24,9,10,8,8,0.8706348201645401,1.7437552786893669,1.7654356504329722,OK
plantview__langdon_4__12-03-24,10,11,8,8,1.0900393802174544,4.280998021570799,4.416347957591514,OK
plantview__langdon_4__12-03-24,11,12,8,5,0.10602847194026514,1.0148010169933188,1.116498516760166,OK
plantview__langdon_4__12-03-24,12,13,8,8,0.0,3.442793313469408,4.426790903610711,OK
plantview__langdon_4__12-03-24,13,14,8,8,0.0,1.5840633819458283,1.9852690842129026,OK
plantview__langdon_4__12-03-24,14,15,8,8,1.4948559365418785,3.5274724811975626,4.424765336524924,OK
plantview__langdon_4__12-03-24,15,16,8,8,0.3663536667004075,0.6144350236188005,0.822773995971196,OK
plantview__langdon_4__12-03-24,16,17,8,6,0.18161370462358617,3.0053800772300416,3.024281918560255,OK
plantview__langdon_4__12-03-24,17,18,8,8,0.0,1.4653997183859055,1.6924636646342879,OK
plantview__langdon_4__12-03-24,18,19,8,8,2.163778339987563,3.2762244012626662,4.4256561173233955,OK
plantview__langdon_4__12-03-24,19,20,8,8,0.0,1.1478147570639166,1.4396251146430847,OK
plantview__langdon_4__12-03-24,20,21,8,8,0.3876135959907459,3.6821564900161494,3.8909111343951706,OK
plantview__langdon_4__12-03-24,21,22,8,8,0.0,0.5672523693911817,0.8125474497774681,OK
plantview__langdon_4__12-03-24,22,23,8,8,1.4362668457793106,3.9736861921995765,4.342619294098464,OK
plantview__langdon_4__12-03-24,23,24,8,8,0.7860135777947795,1.4873550607670762,1.7823537571651635,OK
plantview__langdon_4__12-03-24,24,25,8,8,0.8594418237706778,3.8435555808492303,5.062947317020293,OK
plantview__langdon_4__12-03-24,25,26,8,8,0.0,0.6882491347428741,0.6973298775385183,OK
plantview__langdon_4__12-03-24,26,27,8,8,1.518028931202043,3.4258066291495974,4.3196483939875865,OK
plantview__langdon_4__12-03-24,27,28,8,8,1.2220926019133513,1.6324479830739267,1.716548619885601,OK
plantview__langdon_4__12-03-24,28,29,8,8,1.8006756961069659,2.730815484921959,2.7330012763242317,OK
plantview__langdon_4__12-03-24,29,30,8,8,0.0,1.1771882248984455,1.8272250220818378,OK
plantview__langdon_4__12-03-24,30,31,8,8,1.8430795673956326,3.1982929436528886,3.633988607023439,OK
plantview__langdon_4__12-03-24,31,32,8,8,0.7651962878907548,1.443162776709861,1.8756695671007089,OK
plantview__langdon_4__12-03-24,32,33,8,5,0.4316876945388254,3.9991418790635964,4.160041954179233,OK
plantview__langdon_4__12-03-24,33,34,8,8,0.07526610355108777,0.9934517888787402,1.586321020003609,OK
plantview__langdon_4__12-03-24,34,35,8,6,0.5071136233328294,3.2533153015236147,3.26790049003018,OK
plantview__langdon_4__12-03-24,35,36,8,8,0.97852145266996,1.7870476006733638,2.335861007241354,OK
plantview__langdon_4__12-03-24,36,37,8,8,0.0,3.34853845477847,3.408775733424171,OK
plantview__langdon_4__12-03-24,37,38,8,8,0.0,0.0,0.0,OK
plantview__langdon_4__15-04-24,0,1,8,8,0.8944866967279268,3.1412962164047755,3.219343421716002,OK
plantview__langdon_4__15-04-24,1,2,8,8,1.631395960058926,2.2277594473893325,2.2960245953692406,OK
plantview__langdon_4__15-04-24,2,3,8,5,0.23281576461591733,3.8308500600172097,4.94877608098609,OK
plantview__langdon_4__15-04-24,3,4,8,8,1.1300982786088272,1.3320179749024352,1.4684280454062388,OK
plantview__langdon_4__15-04-24,4,5,8,8,1.1146280126304284,2.936402461828268,3.069472889403262,OK
plantview__langdon_4__15-04-24,5,6,8,8,0.4294249828563232,1.8126607372985557,2.0194288649675225,OK
plantview__langdon_4__15-04-24,6,7,8,8,0.0,3.010642937970507,3.5356007793641777,OK
plantview__langdon_4__15-04-24,7,8,8,8,1.2370951163763975,2.2886781934759934,2.7437546160763677,OK
plantview__langdon_4__15-04-24,8,9,8,8,1.3984342863446428,3.2638652799085643,3.772721800050957,OK
plantview__langdon_4__15-04-24,9,10,8,8,0.48511704317890453,1.5549410394964063,1.9169820525248915,OK
plantview__langdon_4__15-04-24,10,11,8,8,1.175137136384162,3.2091244672688175,3.5583129789327566,OK
plantview__langdon_4__15-04-24,11,12,8,8,0.47339612233804895,1.0898016654758502,1.1888281528768505,OK
plantview__langdon_4__15-04-24,12,13,8,8,2.636048262514265,3.5189737370615513,4.212523220753856,OK
plantview__langdon_4__15-04-24,13,14,8,8,0.7794722268017766,1.3720430156664947,1.5278771456205047,OK
plantview__langdon_4__15-04-24,14,15,8,8,1.7551740319959466,3.8723253572512633,4.673719639804902,OK
plantview__langdon_4__15-04-24,15,16,8,8,0.3247498023967192,0.8756605444851646,0.9452630359863913,OK
plantview__langdon_4__15-04-24,16,17,8,8,3.379275242314969,4.559346305500458,4.8965102471289885,OK
plantview__langdon_4__15-04-24,17,18,8,8,1.5081585248378226,2.113511090131764,2.2692556463919575,OK
plantview__langdon_4__15-04-24,18,19,8,8,2.9529544985833756,3.9615649771674883,4.064336768835848,OK
plantview__langdon_4__15-04-24,19,20,8,8,0.5457353747206187,1.0746248044656521,1.33719021284575,OK
