sequence,window_a,window_b,n_overlap,n_inliers,Q_dispersion_median,Q_dispersion_p90,Q_dispersion_max,scale,translation_norm,center_rmse_after,orientation_residual_median,orientation_residual_p90,status
plantview__langdon_4__19-03-24,0,1,8,8,1.832532667189045,3.4975458932340584,3.9536150792713025,1.0035480924109574,0.7496852235510271,0.022632813177580494,1.832532667189045,3.4975458932340584,OK
plantview__langdon_4__19-03-24,1,2,8,8,0.0,1.2178448724495254,1.3017246651745313,0.9532544507177418,0.7500646246815087,0.011792887441183501,0.0,1.2178448724495254,OK
plantview__langdon_4__19-03-24,2,3,8,8,1.4120629908373397,4.004787964905882,5.566162170737479,0.971556533023633,0.8409008280720677,0.013828762736492781,1.4120629908373397,4.004787964905882,OK
plantview__langdon_4__19-03-24,3,4,8,8,0.0,0.4484541166459526,0.6864486669721275,1.116059181823456,0.757609824181921,0.015420068866504433,0.0,0.4484541166459526,OK
plantview__langdon_4__19-03-24,4,5,8,8,0.8095078496291452,2.9675080464779975,3.6227810663012323,0.9136405201866066,0.760408419580245,0.019421424464518573,0.8095078496291452,2.9675080464779975,OK
plantview__langdon_4__19-03-24,5,6,8,8,0.0,1.0896890183279513,1.1982998292682838,0.949037724783882,0.761091934714574,0.012370349101850217,0.0,1.0896890183279513,OK
plantview__langdon_4__19-03-24,6,7,8,8,1.5555706757299177,4.028260130675142,4.759750772055257,0.9621339627808997,0.8643371847081313,0.015035742314231148,1.5555706757299177,4.028260130675142,OK
plantview__langdon_4__19-03-24,7,8,8,8,0.8322048051058468,2.037096986022184,2.8597057823387257,1.1832054234236418,0.7892327175983275,0.015377727796802505,0.8322048051058468,2.037096986022184,OK
plantview__langdon_4__19-03-24,8,9,8,8,1.5796703006630515,2.692122195007938,2.8767034492450034,0.8682328680939456,0.7530622770029374,0.01453664893359378,1.5796703006630515,2.692122195007938,OK
plantview__langdon_4__19-03-24,9,10,8,7,0.2640053605749039,1.2343403809596172,2.0308580277074717,0.987964784324943,0.7996461202359324,0.010632040245249235,0.0,0.7502602218682978,OK
plantview__langdon_4__19-03-24,10,11,8,8,2.626377960029546,3.3260367279774177,3.727118710404876,0.926638406371306,0.868039822608003,0.01468928425229061,2.626377960029546,3.3260367279774177,OK
plantview__langdon_4__19-03-24,11,12,8,8,1.4158353067851517,2.0107815084022445,2.039232794900109,1.2169210817196534,0.798108939151797,0.016087525538950154,1.4158353067851517,2.0107815084022445,OK
plantview__langdon_4__19-03-24,12,13,8,8,1.4046792846345078,3.4079203860548284,3.7242295146227455,0.8699254142595296,0.7661973260176782,0.011781049872980726,1.4046792846345078,3.4079203860548284,OK
plantview__langdon_4__19-03-24,13,14,8,8,1.5372189773666571,1.9920250555051902,2.083793701779506,0.9875191920871745,0.8108605410820892,0.006462660150481428,1.5372189773666571,1.9920250555051902,OK
plantview__langdon_4__19-03-24,14,15,8,8,1.6591915434293592,3.10529945042786,3.4687146534096414,0.9570326557397366,0.8698456975599617,0.015963677389414715,1.6591915434293592,3.10529945042786,OK
plantview__langdon_4__19-03-24,15,16,8,8,1.3571514740118602,1.8927121358150176,1.9314797892332487,1.251579074714887,0.8106468107408499,0.02776563728336547,1.3571514740118602,1.8927121358150176,OK
plantview__langdon_4__19-03-24,16,17,8,8,0.8608333199924729,2.6267930846971317,3.9492903771764603,0.9674963761586551,0.7583418364099893,0.015047566105513102,0.8608333199924729,2.6267930846971317,OK
plantview__langdon_4__19-03-24,17,18,8,8,1.2724858614015946,1.745714743164629,1.7988298597965968,0.9673557662230229,0.7736110610371841,0.014176928477752208,1.2724858614015946,1.745714743164629,OK
plantview__langdon_4__19-03-24,18,19,8,8,2.0760711180007396,3.8280176369195336,4.937546478883329,0.9111702682022245,0.8510752744178048,0.015051665302287996,2.0760711180007396,3.8280176369195336,OK
plantview__langdon_4__19-03-24,19,20,8,8,0.5338534898181003,1.371482417536961,1.4781935414241028,1.1894812718949026,0.7643198560327412,0.012972638460797735,0.5338534898181003,1.371482417536961,OK
plantview__langdon_4__19-03-24,20,21,8,8,0.0,2.636008200861421,3.1206124459384315,0.9531312092900561,0.7296443572857755,0.011906518049485724,0.0,2.636008200861421,OK
plantview__langdon_4__19-03-24,21,22,8,8,0.0,1.8098530324632267,1.8290570732982554,0.978282490516749,0.7604292179880949,0.01785811872000675,0.0,1.8098530324632267,OK
plantview__langdon_4__19-03-24,22,23,8,8,2.288794775883708,3.635395785358978,3.8495640152753015,0.9946214105293787,0.8212524889822099,0.015638237860685397,2.288794775883708,3.635395785358978,OK
plantview__langdon_4__19-03-24,23,24,8,8,0.0,1.270163634364816,1.8521489092433052,1.0652399722444137,0.6974124429756333,0.021856793339305736,0.0,1.270163634364816,OK
plantview__langdon_4__19-03-24,24,25,8,8,0.5978883627099496,3.5603088995570964,3.7000477849826736,0.9380938547583888,0.7439571664637672,0.015145831275215184,0.5978883627099496,3.5603088995570964,OK
plantview__langdon_4__19-03-24,25,26,8,8,0.0,0.9881370770188451,1.7834309170159375,0.9640981312636148,0.7108084917515571,0.009301494159177033,0.0,0.9881370770188451,OK
plantview__langdon_4__19-03-24,26,27,8,8,2.3183221950207678,3.438209806532024,4.346738886834453,1.0664844261728426,0.7898757128255931,0.014679587509711102,2.3183221950207678,3.438209806532024,OK
plantview__langdon_4__19-03-24,27,28,8,8,0.5693307780615067,1.40404639547447,1.8875228700228424,1.0804491481658505,0.6460691698341537,0.018018395940668223,0.5693307780615067,1.40404639547447,OK
plantview__langdon_4__19-03-24,28,29,8,8,1.9923357442032912,3.726542831859434,4.147704276122159,1.0063721575997813,0.6754802032517813,0.01750400689819325,1.9923357442032912,3.726542831859434,OK
plantview__langdon_4__19-03-24,29,30,8,8,1.3563574293020422,2.094426608378871,2.742949339871662,0.841039057786242,0.6300935356149387,0.013588980871739393,1.3563574293020422,2.094426608378871,OK
plantview__langdon_4__19-03-24,30,31,8,8,1.318386938570225,3.065054930985228,3.105623087543669,1.0333604407039134,0.7898632815809712,0.012456808942317998,1.318386938570225,3.065054930985228,OK
plantview__langdon_4__19-03-24,31,32,8,8,0.4205176600723397,1.6657930525318752,2.2139966527679458,1.0631387986631209,0.653578279848403,0.016506965745155484,0.4205176600723397,1.6657930525318752,OK
plantview__langdon_4__19-03-24,32,33,8,5,0.5683081282256416,3.2455012916589028,3.3859945536006557,0.9927451414619141,0.6798739257366327,0.013836099801851786,0.0,0.6819697538707701,OK
plantview__langdon_4__19-03-24,33,34,8,8,0.0,1.241419353259656,1.2528509576946558,0.9556087186082901,0.7078297013875025,0.008490361101975484,0.0,1.241419353259656,OK
plantview__langdon_4__19-03-24,34,35,8,8,0.0,2.572246326839154,3.044328886065963,1.0019842517319295,0.7759217644372175,0.010151760113027403,0.0,2.572246326839154,OK
plantview__langdon_4__19-03-24,35,36,8,8,0.4818266887722835,1.2909303928742308,1.4814896851771238,1.002765079738252,0.6452746284921981,0.017557286807036027,0.4818266887722835,1.2909303928742308,OK
plantview__langdon_4__19-03-24,36,37,8,5,0.0,1.4776115093545112,2.05371707916806,1.0148442041589485,0.7199182498892537,0.01211951868234114,0.0,0.0,OK
plantview__langdon_4__19-03-24,37,38,8,8,0.0,1.620757607970076,1.68488419161474,0.9554831924189036,0.7183184314443166,0.01254365832398219,0.0,1.620757607970076,OK
