sequence,window_i,window_j,window_distance,n_overlap,n_inliers,Q_disp_med_deg,Q_disp_p90_deg,Q_disp_max_deg,weight,edge_status,q00,q01,q02,q10,q11,q12,q20,q21,q22
plantview__langdon_4__05-03-24,0,1,1,12,12,0.6715,2.5496,3.0958,0.59825,OK,0.999978,-0.001225,0.006526,0.003576,0.927515,-0.373768,-0.005595,0.373783,0.927499
plantview__langdon_4__05-03-24,0,2,2,8,8,0.6159,2.9559,2.9826,0.412576,OK,0.999558,-0.022612,0.019291,0.029599,0.697976,-0.715509,0.002714,0.715764,0.698337
plantview__langdon_4__05-03-24,0,3,3,4,4,0.6286,2.2102,2.6186,0.204669,OK,0.999477,-0.012876,0.02965,0.032275,0.346422,-0.937524,0.0018,0.937991,0.346656
plantview__langdon_4__05-03-24,1,2,1,12,10,0.1925,2.4728,3.9007,0.83854,OK,0.999654,-0.023854,0.011044,0.026285,0.911653,-0.41012,-0.000285,0.410268,0.911965
plantview__langdon_4__05-03-24,1,3,2,8,8,0.0,2.8412,3.9264,0.666667,OK,0.999596,-0.015969,0.02353,0.028232,0.656467,-0.753826,-0.003409,0.754186,0.656652
plantview__langdon_4__05-03-24,1,4,3,4,4,0.8631,2.9659,3.727,0.178916,OK,0.951966,-0.066339,-0.298931,-0.249644,0.397159,-0.883144,0.17731,0.915349,0.361521
plantview__langdon_4__05-03-24,2,3,1,12,12,0.84,1.6169,1.9505,0.543486,OK,0.999993,0.001929,0.003127,-0.000466,0.910747,-0.412964,-0.003645,0.412959,0.910742
plantview__langdon_4__05-03-24,2,4,2,8,8,0.0,1.6205,2.2196,0.666667,OK,0.946329,-0.053688,-0.318715,-0.17319,0.748347,-0.640298,0.272886,0.661131,0.698884
plantview__langdon_4__05-03-24,2,5,3,4,4,0.4438,1.3289,1.518,0.230866,OK,0.949131,0.083082,-0.303723,-0.170799,0.946174,-0.274924,0.264533,0.312815,0.912233
plantview__langdon_4__05-03-24,3,4,1,12,12,0.7247,2.6339,2.9997,0.579799,OK,0.945474,-0.056531,-0.320753,-0.042443,0.955038,-0.293429,0.322919,0.291043,0.900565
plantview__langdon_4__05-03-24,3,5,2,8,8,0.6733,2.2137,2.9707,0.398425,OK,0.948613,0.084265,-0.305013,-0.045532,0.990209,0.131957,0.313146,-0.111288,0.943162
plantview__langdon_4__05-03-24,3,6,3,4,4,1.6,2.7112,3.074,0.128205,OK,0.946183,0.218409,-0.238821,-0.058867,0.841777,0.536606,0.318233,-0.493669,0.809332
plantview__langdon_4__05-03-24,4,5,1,12,12,1.4329,3.4095,4.0069,0.411028,OK,0.99994,0.003633,0.010372,-0.00768,0.906064,0.423071,-0.007861,-0.423125,0.906037
plantview__langdon_4__05-03-24,4,6,2,8,8,0.6931,2.9976,3.2122,0.393752,OK,0.999838,0.013902,0.011394,-0.01768,0.646384,0.762808,0.003239,-0.762886,0.646525
plantview__langdon_4__05-03-24,4,7,3,4,4,1.4368,3.0744,3.4663,0.136794,OK,0.999834,-0.008898,0.015878,-0.012658,0.286877,0.957884,-0.013078,-0.957926,0.286717
plantview__langdon_4__05-03-24,5,6,1,12,9,0.1989,3.4285,4.734,0.834077,OK,0.999951,0.009803,0.001346,-0.009462,0.907431,0.420095,0.002897,-0.420087,0.907479
