sequence,window_i,window_j,window_distance,n_overlap,n_inliers,Q_disp_med_deg,Q_disp_p90_deg,Q_disp_max_deg,weight,edge_status,q00,q01,q02,q10,q11,q12,q20,q21,q22
plantview__langdon_4__05-03-24,0,1,1,8,8,0.6159,2.9559,2.9826,0.412576,OK,0.999558,-0.022612,0.019291,0.029599,0.697976,-0.715509,0.002714,0.715764,0.698337
plantview__langdon_4__05-03-24,1,2,1,8,8,0.0,1.6205,2.2196,0.666667,OK,0.946329,-0.053688,-0.318715,-0.17319,0.748347,-0.640298,0.272886,0.661131,0.698884
plantview__langdon_4__05-03-24,2,3,1,8,8,0.6931,2.9976,3.2122,0.393752,OK,0.999838,0.013902,0.011394,-0.01768,0.646384,0.762808,0.003239,-0.762886,0.646525
plantview__langdon_4__05-03-24,3,4,1,8,5,0.1939,1.2548,1.6165,0.558391,OK,0.999686,0.017984,-0.017436,-0.002084,0.753387,0.657574,0.024962,-0.657331,0.753189
plantview__langdon_4__05-03-24,4,5,1,8,8,0.7712,2.803,3.7108,0.376395,OK,0.999227,-0.022036,0.03255,0.038725,0.693894,-0.719035,-0.006742,0.71974,0.694211
plantview__langdon_4__05-03-24,5,6,1,8,5,0.258,1.3441,1.3617,0.529946,OK,0.950706,-0.056019,-0.304993,-0.163318,0.745631,-0.646036,0.263603,0.664001,0.699726
plantview__langdon_4__05-03-24,6,7,1,8,8,1.5807,3.9577,4.4099,0.258332,OK,0.999885,0.012728,-0.008292,-0.001555,0.628751,0.777605,0.01511,-0.777502,0.628699
plantview__langdon_4__05-03-24,7,8,1,8,8,1.8164,2.0061,2.1882,0.236712,OK,0.996978,0.070219,-0.033218,-0.030057,0.743035,0.668577,0.071628,-0.665558,0.742901
plantview__langdon_4__05-03-24,8,9,1,8,8,8.1647,10.4765,11.2857,0.072743,OK,0.98317,-0.128907,0.129457,0.182674,0.703449,-0.68687,-0.002524,0.698958,0.715158
plantview__langdon_4__05-03-24,9,10,1,8,6,0.3838,2.0342,2.7633,0.481753,OK,0.950852,-0.051615,-0.305314,-0.165784,0.747925,-0.642747,0.261527,0.661774,0.702609
plantview__langdon_4__05-03-24,10,11,1,8,8,1.6203,3.9708,4.5722,0.254427,OK,0.999869,0.012682,-0.010055,-0.000925,0.665037,0.746809,0.016158,-0.746702,0.664962
plantview__langdon_4__05-03-24,11,12,1,8,8,2.1936,2.5522,2.7342,0.208752,OK,0.995246,0.082803,-0.051281,-0.024485,0.722319,0.691127,0.094269,-0.686585,0.720912
