sequence,method,method_label,note,n_windows,n_frames_evaluated,n_edges,cycle_rank,rot_median,rot_p90,rot_mean,rot_max,pose_gate
mustc__plot198__230613__ugv__pos00,A_STRIDE8_CHAIN,A,baseline chain,20,20,1,0,2.618525324183671,5.090271786949476,2.6379016102871127,6.180697239639859,PASS
mustc__plot198__230613__ugv__pos00,B_STRIDE8_SO3GRAPH,B,negative control cr=0,20,20,1,0,2.61852362755354,5.090276769909973,2.637901705754187,6.1806925811801365,PASS
mustc__plot198__230613__ugv__pos00,C_STRIDE4_CHAIN,C,chain more windows,20,20,1,0,0.6027458822654775,4.481652546474398,1.5329953825745446,5.627391581093804,PASS
mustc__plot198__230613__ugv__pos00,D_STRIDE4_SO3GRAPH,D,headline redundant sync,20,20,1,0,0.6027471166057163,4.48165272373896,1.5329966606660808,5.627392846603389,PASS
plantview__langdon_4__05-03-24,A_STRIDE8_CHAIN,A,baseline chain,320,320,38,0,44.048295713543354,81.71182576978583,44.95960132707013,83.5453063632201,FAIL
plantview__langdon_4__05-03-24,B_STRIDE8_SO3GRAPH,B,negative control cr=0,320,320,38,0,44.048292906766164,81.7118035549607,44.95958539192769,83.54526951102174,FAIL
plantview__langdon_4__05-03-24,C_STRIDE4_CHAIN,C,chain more windows,320,320,151,75,44.75144000748208,79.34205945560642,44.98156906357493,84.04162596036204,FAIL
plantview__langdon_4__05-03-24,D_STRIDE4_SO3GRAPH,D,headline redundant sync,320,320,151,75,44.92431950876518,79.54020216901428,45.08980991970158,84.09683309959624,FAIL
plantview__langdon_4__12-03-24,A_STRIDE8_CHAIN,A,baseline chain,320,320,38,0,48.747638378109585,85.8170916743694,48.955513177042825,89.92567086154882,FAIL
plantview__langdon_4__12-03-24,B_STRIDE8_SO3GRAPH,B,negative control cr=0,320,320,38,0,48.747581494120496,85.81698495497933,48.955470674638526,89.92561425905194,FAIL
plantview__langdon_4__12-03-24,C_STRIDE4_CHAIN,C,chain more windows,320,320,151,75,49.34785543793946,86.7361628708472,49.16240063458613,90.11185230148223,FAIL
plantview__langdon_4__12-03-24,D_STRIDE4_SO3GRAPH,D,headline redundant sync,320,320,151,75,49.342215236881046,86.8214984525173,49.257176875518866,90.27894044676847,FAIL
plantview__langdon_4__15-04-24,A_STRIDE8_CHAIN,A,baseline chain,318,318,38,0,53.099207620761334,88.84213055867895,50.79547592315271,92.74490297749819,FAIL
plantview__langdon_4__15-04-24,B_STRIDE8_SO3GRAPH,B,negative control cr=0,318,318,38,0,53.09924904735688,88.84213762735165,50.79548933994121,92.7449131909612,FAIL
plantview__langdon_4__15-04-24,C_STRIDE4_CHAIN,C,chain more windows,318,318,151,75,52.436772224641814,88.39090510470133,50.49925929276724,92.49845464918887,FAIL
plantview__langdon_4__15-04-24,D_STRIDE4_SO3GRAPH,D,headline redundant sync,318,318,151,75,52.017978609056634,87.7954764418338,50.17201455801788,92.87028949990204,FAIL
plantview__langdon_4__19-03-24,A_STRIDE8_CHAIN,A,baseline chain,320,320,38,0,44.294555416133356,81.82520707872644,45.21597783267142,83.5749463779825,FAIL
plantview__langdon_4__19-03-24,B_STRIDE8_SO3GRAPH,B,negative control cr=0,320,320,38,0,44.294562551503645,81.82520595139613,45.215963804047504,83.57492966162067,FAIL
plantview__langdon_4__19-03-24,C_STRIDE4_CHAIN,C,chain more windows,320,320,151,75,44.73168543421933,80.77140124965926,45.09998995699844,82.77167370920345,FAIL
plantview__langdon_4__19-03-24,D_STRIDE4_SO3GRAPH,D,headline redundant sync,320,320,151,75,45.01983646833279,81.5483243847115,45.47163681643521,83.59675946158234,FAIL
wheat3dgs__plot_461,A_STRIDE8_CHAIN,A,baseline chain,36,36,3,0,3.2817898373546583,5.701030489218376,3.34468594068172,7.501914655981523,PASS
wheat3dgs__plot_461,B_STRIDE8_SO3GRAPH,B,negative control cr=0,36,36,3,0,3.281790497034543,5.701032537216839,3.3446896113343336,7.5019234484926205,PASS
wheat3dgs__plot_461,C_STRIDE4_CHAIN,C,chain more windows,36,36,9,4,3.365847766771323,5.834457806628518,3.498247397344932,7.6083379644617395,PASS
wheat3dgs__plot_461,D_STRIDE4_SO3GRAPH,D,headline redundant sync,36,36,9,4,3.2761449529229703,5.766746312245552,3.4421935929896033,7.490496787656259,PASS
wheat3dgs__plot_467,A_STRIDE8_CHAIN,A,baseline chain,36,36,3,0,3.3647737248605116,4.900450369029432,2.934473866916409,5.64203348779673,PASS
wheat3dgs__plot_467,B_STRIDE8_SO3GRAPH,B,negative control cr=0,36,36,3,0,3.364769925032574,4.9004501192278225,2.9344719506564765,5.642028236251892,PASS
wheat3dgs__plot_467,C_STRIDE4_CHAIN,C,chain more windows,36,36,9,4,3.1243345055031426,4.847304594192147,2.798923506299104,5.348847867440583,PASS
wheat3dgs__plot_467,D_STRIDE4_SO3GRAPH,D,headline redundant sync,36,36,9,4,3.2338538179493366,4.945985884749171,2.8474537874082255,5.458135788961515,PASS
