sequence,dataset,window_distance,n_edges,q_vs_ref_median_deg,q_vs_ref_p90_deg,q_vs_ref_mean_deg
plantview__langdon_4__05-03-24,stride4,1,76,25.989685718440448,62.932704677268994,29.952338979766033
plantview__langdon_4__05-03-24,stride4,2,75,46.50670362749798,105.08949185541894,54.79505504993257
plantview__langdon_4__12-03-24,stride4,1,76,25.058815468259223,59.539185148021815,29.242731564474663
plantview__langdon_4__12-03-24,stride4,2,75,45.582394719459394,102.04630576649387,53.59672374325255
plantview__langdon_4__15-04-24,stride4,1,76,23.79286856953007,55.5911130154757,29.514037327691078
plantview__langdon_4__15-04-24,stride4,2,75,44.00815016830668,102.89162266332407,51.37571500880551
plantview__langdon_4__19-03-24,stride4,1,76,24.34060533829287,62.94487755218661,29.924728314247098
plantview__langdon_4__19-03-24,stride4,2,75,45.37592949198904,106.36933774620337,54.75685737724009
wheat3dgs__plot_461,stride4,1,5,16.780188385581763,36.155434776649464,22.219526315282227
wheat3dgs__plot_461,stride4,2,4,31.756090865954192,34.208378323046134,31.82169846573258
wheat3dgs__plot_467,stride4,1,5,17.854304060519993,35.81304350311801,22.99064853279723
wheat3dgs__plot_467,stride4,2,4,32.09909122794109,35.87854826869017,31.823534807315436
mustc__plot198__230613__ugv__pos00,stride4,1,1,120.41528952987096,120.41528952987096,120.41528952987096
