window_i,window_j,hop,q_ref_vs_meas_deg,gauge_fit_resid_i_deg,gauge_fit_resid_j_deg
0,1,1,1.6189,2.895,1.628
0,2,2,2.7333,2.895,0.9886
1,2,1,0.4315,1.628,0.9886
1,3,2,0.9421,1.628,1.0824
2,3,1,0.6959,0.9886,1.0824
2,4,2,1.7038,0.9886,1.1133
3,4,1,1.2491,1.0824,1.1133
3,5,2,6.1575,1.0824,5.3855
4,5,1,4.6765,1.1133,5.3855
4,6,2,8.9647,1.1133,8.7332
5,6,1,4.4973,5.3855,8.7332
5,7,2,8.952,5.3855,5.0242
6,7,1,4.4139,8.7332,5.0242
6,8,2,9.2335,8.7332,3.1954
7,8,1,4.7412,5.0242,3.1954
7,9,2,5.2025,5.0242,1.7728
8,9,1,1.6794,3.1954,1.7728
8,10,2,2.9459,3.1954,1.4462
9,10,1,0.5607,1.7728,1.4462
9,11,2,0.6087,1.7728,1.4352
10,11,1,0.4745,1.4462,1.4352
10,12,2,2.0824,1.4462,2.1538
11,12,1,1.2901,1.4352,2.1538
11,13,2,5.7959,1.4352,5.4136
12,13,1,4.7823,2.1538,5.4136
12,14,2,8.997,2.1538,8.8914
13,14,1,4.4571,5.4136,8.8914
13,15,2,9.0374,5.4136,5.1921
14,15,1,4.5323,8.8914,5.1921
14,16,2,9.3111,8.8914,2.9743
15,16,1,4.9572,5.1921,2.9743
15,17,2,5.4224,5.1921,1.8793
16,17,1,1.5575,2.9743,1.8793
16,18,2,2.7705,2.9743,1.927
17,18,1,0.6487,1.8793,1.927
17,19,2,1.091,1.8793,1.6284
18,19,1,0.911,1.927,1.6284
18,20,2,2.2188,1.927,2.0132
19,20,1,1.2046,1.6284,2.0132
19,21,2,6.1654,1.6284,5.2034
20,21,1,4.7071,2.0132,5.2034
20,22,2,8.9905,2.0132,8.9138
21,22,1,4.5221,5.2034,8.9138
21,23,2,9.0088,5.2034,5.1308
22,23,1,4.5049,8.9138,5.1308
22,24,2,9.6135,8.9138,2.8333
23,24,1,5.2143,5.1308,2.8333
23,25,2,5.6932,5.1308,1.7763
24,25,1,1.5563,2.8333,1.7763
24,26,2,3.0815,2.8333,1.7534
25,26,1,0.5865,1.7763,1.7534
25,27,2,1.4371,1.7763,1.7887
26,27,1,0.938,1.7534,1.7887
26,28,2,2.4019,1.7534,2.1376
27,28,1,1.7356,1.7887,2.1376
27,29,2,6.735,1.7887,5.2171
