frame_separation,n_pairs,median_deg,p90_deg,max_deg
1,90,1.5741392565080705,2.6640982744086257,6.66033006214471
2,84,1.4437920063873395,4.487597407281399,7.018436774517007
3,78,1.862589101440488,5.704086693569283,8.522240334602401
4,72,1.9413016582085585,6.259989747196159,8.478482711484016
5,66,2.2278210752576273,6.836947060255299,9.255774168280027
6,60,3.187100241250789,7.437788102234579,9.610407298614428
7,54,3.880884911462157,7.459460838271862,9.872270268643891
8,48,4.204973923657452,8.288476859644843,9.464824847159733
9,42,4.379337393259747,7.804007116962592,10.556228959290019
10,36,4.522015603974882,7.774371201051861,9.660720722130753
11,30,4.655876376452169,8.081695833102847,10.036158538016902
12,24,5.692807880739947,7.961135008613502,8.599874254212395
13,18,5.357988962438036,8.960431687712605,9.607363449305176
14,12,5.264181082781887,8.543565791951526,9.282880105719604
15,6,5.668145880573471,9.225914166597983,9.599261799190268
