frame_a,frame_b,frame_separation,relative_err_deg
0,1,1,0.7535310819779973
1,2,1,5.643371715768734
2,3,1,4.186665527606934
3,4,1,0.0
4,5,1,0.0
4,5,1,0.9175323363617812
5,6,1,2.7636504283137318
5,6,1,0.0
6,7,1,0.0
6,7,1,0.0
7,8,1,0.0
7,8,1,2.3182197809564187
8,9,1,4.870847722477049
8,9,1,0.0
9,10,1,4.628815804305028
9,10,1,0.0
10,11,1,2.0748180393217437
10,11,1,4.06556395445768
11,12,1,0.0
11,12,1,3.9023129615545713
12,13,1,2.544637905097506
12,13,1,0.0
13,14,1,4.293246852109314
13,14,1,1.5997371116008612
14,15,1,3.845101573037081
14,15,1,1.80107215833521
15,16,1,1.828577360689301
16,17,1,1.2729322786855597
17,18,1,0.0
18,19,1,0.0
0,2,2,5.660022883997056
1,3,2,0.0
2,4,2,4.2873652040928105
3,5,2,0.0
4,6,2,1.5130468337152299
4,6,2,0.0
5,7,2,0.0
5,7,2,0.0
6,8,2,4.826734269626168
6,8,2,4.627611084389151
7,9,2,0.7162238839211094
7,9,2,0.0
8,10,2,3.9189794489947403
8,10,2,1.3617544044360073
9,11,2,4.186954590116192
9,11,2,4.759534924003636
10,12,2,1.0747259629079566
10,12,2,0.0
11,13,2,3.0345555229304404
11,13,2,4.065784860563835
12,14,2,1.0760247696968501
12,14,2,1.5937888481262514
13,15,2,4.784167049423285
13,15,2,0.0
14,16,2,3.7215426635956708
15,17,2,0.0
16,18,2,1.1711445133440497
17,19,2,0.0
0,3,3,0.0
1,4,3,0.0
2,5,3,5.413738040876563
3,6,3,0.0
4,7,3,0.0
4,7,3,0.0
5,8,3,4.949553123317723
5,8,3,4.978737406816846
6,9,3,5.225741169678551
6,9,3,1.691867733656038
7,10,3,0.0
7,10,3,0.0
8,11,3,3.5976412004581695
8,11,3,5.821296330110117
9,12,3,3.588037382687681
9,12,3,0.0
10,13,3,4.02763893418911
10,13,3,0.0
11,14,3,2.135495879058139
11,14,3,5.9991087215199785
12,15,3,2.9537448827186195
12,15,3,0.0
13,16,3,0.0
14,17,3,3.1729150471254157
15,18,3,0.0
16,19,3,0.0
0,4,4,0.0
1,5,4,1.5600109534453823
2,6,4,6.178195118047608
3,7,4,0.0
4,8,4,5.192376887131262
4,8,4,5.428994714384439
5,9,4,4.748788336666703
5,9,4,2.5038163384490626
6,10,4,3.8065419066861588
6,10,4,0.0
7,11,4,0.0
7,11,4,3.5510881668592993
8,12,4,1.3485550613048611
8,12,4,0.0
9,13,4,5.478366351947338
9,13,4,0.0
10,14,4,2.707027483467765
10,14,4,2.07542368526018
11,15,4,3.0781765851227796
11,15,4,3.8066900561663615
12,16,4,2.1611817017179966
13,17,4,0.0
14,18,4,3.011599095007215
15,19,4,0.0
0,5,5,1.085068423414761
1,6,5,2.9339595606484132
2,7,5,3.550843061287952
3,8,5,4.806578354530262
4,9,5,4.41769452338198
4,9,5,2.8149052087679354
5,10,5,2.935314347517132
5,10,5,0.0
6,11,5,2.9107647993549635
6,11,5,4.851091449513664
7,12,5,0.0
7,12,5,0.0
8,13,5,5.235145692991119
8,13,5,3.841483058375124
9,14,5,4.337264498950295
9,14,5,3.2738025322731823
10,15,5,3.856348934640171
10,15,5,0.0
11,16,5,5.7274441723994975
12,17,5,0.0
13,18,5,0.0
14,19,5,0.0
0,6,6,2.7568674519574117
1,7,6,0.0
2,8,6,8.55626718584689
3,9,6,4.417056174819117
4,10,6,2.1232526613221347
4,10,6,0.0
5,11,6,1.5114953909112725
5,11,6,5.141340160340592
6,12,6,2.0300531873109677
6,12,6,0.0
7,13,6,0.0
7,13,6,0.0
8,14,6,3.8814589319354433
8,14,6,4.557934541001608
9,15,6,5.331459663893407
9,15,6,0.0
10,16,6,1.739484029580304
11,17,6,5.0886853965751655
12,18,6,0.0
13,19,6,0.0
0,7,7,0.0
1,8,7,4.101544005113341
2,9,7,7.88210723091088
3,10,7,2.276784484222182
4,11,7,0.0
4,11,7,5.19963098962957
5,12,7,0.7799377758159268
5,12,7,0.0
6,13,7,3.840903215264521
6,13,7,0.0
7,14,7,0.0
7,14,7,0.0
8,15,7,4.957686862981538
8,15,7,0.0
9,16,7,3.8289498980957184
10,17,7,0.0
11,18,7,5.133991990680387
12,19,7,0.0
0,8,8,4.181017957468483
1,9,8,4.493109592095802
2,10,8,6.71213569037064
3,11,8,0.0
4,12,8,0.0
4,12,8,0.0
5,13,8,3.0609815789217376
5,13,8,0.0
6,14,8,3.8086051715764295
6,14,8,2.8583057075410268
7,15,8,0.0
7,15,8,0.0
8,16,8,6.367380842899755
9,17,8,2.456141725867767
10,18,8,0.0
11,19,8,4.055994874297773
0,9,9,4.393341148587204
1,10,9,2.530777653024985
2,11,9,5.917187044368859
3,12,9,0.0
4,13,9,1.8071063495506252
4,13,9,0.0
5,14,9,2.791178697106628
5,14,9,3.383632939470609
6,15,9,4.831613888333097
6,15,9,0.0
7,16,9,0.0
8,17,9,5.2038942941652335
9,18,9,2.564400553553048
10,19,9,0.0
0,10,10,2.40894591091063
1,11,10,0.0
2,12,10,6.090986643066593
3,13,10,1.2127470910130596
4,14,10,1.957960148764978
4,14,10,3.5038088107518384
5,15,10,3.95693044466393
5,15,10,0.0
6,16,10,1.1810039928604459
7,17,10,0.0
8,18,10,5.241966631537469
9,19,10,0.0
0,11,11,0.0
1,12,11,0.0
2,13,11,6.044896733029958
3,14,11,2.402990990694172
4,15,11,3.282229664198117
4,15,11,0.0
5,16,11,2.105141730429801
6,17,11,0.0
7,18,11,0.0
8,19,11,2.8037635775125795
0,12,12,0.0
1,13,12,2.9655939839715897
2,14,12,7.0770998320517124
3,15,12,3.6989835195754854
4,16,12,1.6647077817926135
5,17,12,0.49029654234686204
6,18,12,0.0
7,19,12,0.0
0,13,13,2.9652356320833286
1,14,13,2.8621327953743383
2,15,13,7.053676916035233
4,17,13,0.0
5,18,13,0.26377415584570085
6,19,13,0.0
0,14,14,2.3689117040294283
1,15,14,3.386952853129772
4,18,14,0.0
5,19,14,0.0
0,15,15,3.444177781670745
4,19,15,0.0
