frame_a,frame_b,frame_separation,relative_err_deg
0,1,1,0.9781584872363447
1,2,1,0.6025573588645963
2,3,1,0.5804369449390396
3,4,1,0.0
4,5,1,0.0
4,5,1,0.4242241239545608
5,6,1,1.7197558367874723
5,6,1,0.8381906636256188
6,7,1,1.9292191777485177
6,7,1,0.7244757331592525
7,8,1,3.0814189325395995
7,8,1,0.0
8,9,1,5.058068459267255
8,9,1,0.5851880549990693
8,9,1,0.6988564931418779
9,10,1,4.627551193409184
9,10,1,1.6637312667038024
9,10,1,0.9193622007232589
10,11,1,0.0
10,11,1,0.0
10,11,1,0.8211635587352794
11,12,1,3.937010673307298
11,12,1,0.0
11,12,1,1.0180162087646225
12,13,1,1.7217518373448648
12,13,1,0.0
12,13,1,0.0
12,13,1,0.8309900069465042
13,14,1,0.0
13,14,1,0.0
13,14,1,0.0
13,14,1,1.0125331682457808
14,15,1,0.0
14,15,1,3.7499552662096836
14,15,1,0.0
14,15,1,1.3984894770438998
15,16,1,4.179950020612068
15,16,1,0.5428228580136651
15,16,1,1.8998798051939536
16,17,1,1.3246792469321444
16,17,1,0.0
16,17,1,0.0
16,17,1,0.6608653544094757
17,18,1,2.2784189345124988
17,18,1,0.0
17,18,1,0.8028643110073782
17,18,1,0.7528968960203828
18,19,1,2.4396890062693792
18,19,1,0.0
18,19,1,1.6937430173911683
18,19,1,0.9439616780992662
19,20,1,0.0
19,20,1,0.8377289657070115
19,20,1,0.0
20,21,1,0.0
20,21,1,0.0
20,21,1,0.0
20,21,1,0.5729006940990745
21,22,1,1.4716999445528571
21,22,1,0.0
21,22,1,0.0
21,22,1,0.0685941047414916
22,23,1,1.2139669114020157
22,23,1,0.0
22,23,1,0.9132135306075485
22,23,1,0.9230721455604024
23,24,1,0.0
23,24,1,0.0
23,24,1,0.943953173047864
24,25,1,0.7802480288832919
24,25,1,0.0
24,25,1,0.0
24,25,1,1.8596747563317648
25,26,1,0.0
25,26,1,0.0
25,26,1,1.2846973348523791
25,26,1,1.155476503520693
26,27,1,0.0
26,27,1,1.8273796181363995
26,27,1,1.7013014215847333
26,27,1,0.8357966084903291
27,28,1,0.0
27,28,1,0.0
27,28,1,0.9865614723264671
28,29,1,0.0
28,29,1,0.0
28,29,1,0.0
28,29,1,0.8744218279643673
29,30,1,0.0
29,30,1,1.3600988593811143
29,30,1,0.0
29,30,1,1.2060235557553074
30,31,1,0.0
30,31,1,4.194063927385497
30,31,1,0.0
30,31,1,1.1049220199439713
31,32,1,17.925110737966424
31,32,1,17.84140532182356
31,32,1,17.43807303867256
32,33,1,0.0
32,33,1,0.0
32,33,1,1.502881205863297
32,33,1,0.6980609903534613
33,34,1,0.0
33,34,1,0.0
33,34,1,0.8069073414390036
33,34,1,0.8913249203949012
34,35,1,3.0239954662821362
34,35,1,0.847749696039243
34,35,1,0.9392382186141103
34,35,1,1.151375424529294
35,36,1,1.456096092257368
35,36,1,0.47311534851616116
35,36,1,1.6018134724541107
36,37,1,1.61721079562015
36,37,1,0.6483862752910003
36,37,1,0.8731019626002305
36,37,1,0.34833177483014466
37,38,1,1.0518427724814623
37,38,1,1.2827540489890685
37,38,1,0.0
37,38,1,0.7397074502544477
38,39,1,2.160103558280278
38,39,1,1.9677761898879402
38,39,1,1.6020527888122311
38,39,1,1.805299036190066
