frame_index,n_windows,residual_median_deg,residual_max_deg,cross_window_dispersion_deg
4,2,3.650549856474175,5.45713160937634,3.9428660020356987
5,2,3.1117081952107606,4.904690275888724,3.4655744897148058
6,2,3.216798091325222,4.248881776179803,3.0943695550569585
7,2,2.028055213926317,3.3251477732826955,2.881442246017255
8,3,3.9741505708698237,5.047537663911785,4.594561810834939
9,3,3.0253448369515032,4.616200624758859,4.174433491515749
10,3,6.376825720094377,7.331627232656835,5.124231572235146
11,3,3.623072611104911,6.307469493555915,5.786510279546639
12,4,2.2236066543205855,4.89885918883885,5.2263784896080265
13,4,1.6405389773081862,4.677706549776726,4.536098788709864
14,4,2.304878608454112,6.684344617334546,5.85112409997063
15,4,2.364378904111629,6.473214368316936,5.730705792289671
16,4,2.1762964306692134,4.6393930519446895,3.614198025887594
17,4,2.60774145867147,5.958443393894483,4.252562543683374
18,4,2.590978464336634,5.11519459209456,4.91279713592377
19,4,3.674092307631802,6.999174923550581,4.834592447617043
20,4,3.149732403124669,5.099103374957016,4.111868954135582
21,4,3.9039162256795894,5.3434296230293565,3.201288098505867
22,4,1.4121629791043382,2.3287365602342,1.5673267725526554
23,4,3.0076771365613237,4.22843976238704,2.8330164470488386
24,3,3.1378117675048403,3.730846586070744,1.4273596256932761
25,3,2.863797349452525,3.2162769626918144,0.6148234265261797
26,3,3.06145530708188,3.3663801140053793,1.2954420462038034
27,3,2.7933577601279036,3.1170282439881483,0.8308448309069907
28,2,2.4643540726342694,2.929587864153644,1.0387149870796766
29,2,2.35679436099411,2.585000621082767,1.286783052711071
30,2,2.2395284314945005,3.1313246473039116,1.9865812920045582
31,2,1.2909626300486234,1.580905643819156,1.4476832424177353
