position,n,median,p90,mean,max
0,77,2.5490628763585113,11.247071002703,4.4243412928124055,13.302519080348036
1,77,1.9760779406292155,9.933569594677515,4.119038436643888,13.339705767581682
2,77,2.0644849830303063,10.232993644247525,4.106522447930944,13.311238618040226
3,77,2.2084467798599596,10.883918369524867,4.108678792358624,13.35336368026526
4,77,1.814250690636539,6.736837701173818,2.841265105898714,10.195854075096772
5,77,1.475304785138596,6.540562185190509,2.4771426009878725,8.914640719898433
6,77,1.6503879075403034,6.095616024618633,2.678787947265506,8.926030420115119
7,77,0.8598499484847524,6.778047312394767,2.2664781898826654,8.600099935469114
8,77,1.9607918658948582,8.366591752293482,2.846826361813132,11.744447745702981
9,77,2.5011733037574126,7.931617468330655,2.7137400467150936,9.350040076693329
10,77,1.3680904899157071,7.007945438624108,2.5339463769391317,9.21342884532404
11,77,2.1266631124735085,6.693819958103865,2.7271591782478257,8.85310479511116
12,77,2.739423607598899,13.182755460616908,4.079853432831675,17.637329174673937
13,77,3.506228826115849,12.963546526752424,4.454348097828581,14.498628937251441
14,77,3.7290474483855696,13.364068741681955,4.56369186324105,15.129704348605182
15,77,3.052836573254618,13.055809905940874,4.511440179613384,16.663677872188348
