position,n,median,p90,mean,max
0,6,3.178313947483147,4.037869966870938,2.7156415205051,4.064927025535738
1,6,3.0455752059199916,4.195580664191624,2.969946799755822,4.351848533402678
2,6,2.006583480117626,5.026622915348347,2.7849799263704043,6.678930338630298
3,6,2.901763645106998,3.9654063671907505,2.7214634577370607,4.59023572248716
4,6,2.0136834208213563,3.2917065264068577,2.0077658018999833,4.075487944002303
5,6,2.4173209193165817,3.379998676210081,2.265640201978204,3.7990922163606773
6,6,1.5635198316460577,3.844664946034448,2.0049689963379382,4.929890550200744
7,6,1.9725672411927504,2.6615635227164125,2.1079140282115305,2.866595939692266
8,6,2.1520768117147626,2.679425052956633,2.082059223409366,2.8996253427305025
9,6,1.9949650000257961,2.9886738427128137,1.9908772875068845,3.555078060264193
10,6,1.5642089988178096,3.1112071789384372,1.946048094083678,3.3616424972310264
11,6,1.978759490647314,2.7797321961350603,1.977349127107356,3.0467976790643467
12,6,3.3076583225001324,4.662984284823258,3.2380517578350716,5.1262089443282886
13,6,3.4334709044324834,5.071936726159876,3.1555729486768267,5.113255292765782
14,6,2.76725743773666,4.976098835259732,2.9943175437330765,5.842943244898496
15,6,2.886506837630485,6.07023007273822,3.2742973966587936,6.4663398974241835
