window,accumulated_drift_deg
0,0.0
1,0.911
2,1.085
3,0.987
4,0.544
5,4.898
6,9.363
7,13.699
8,18.444
9,18.559
10,18.609
11,18.8
12,18.693
13,23.284
14,27.733
15,31.859
16,36.128
17,36.262
18,36.295
19,36.241
20,36.311
21,40.746
22,45.107
23,49.143
24,53.182
25,53.357
26,53.457
27,53.596
28,53.76
29,58.29
30,62.709
31,66.881
32,70.738
33,70.668
34,70.71
35,70.938
36,70.973
37,75.478
38,80.003
39,84.237
40,88.48
41,88.457
42,88.335
43,88.59
44,88.418
45,92.89
46,97.368
47,101.466
48,105.561
49,105.253
50,105.548
51,106.652
52,107.621
53,112.444
54,116.977
55,121.093
56,125.128
57,124.756
58,125.296
59,126.306
60,126.667
61,131.342
62,135.954
63,140.133
64,144.402
65,144.141
66,144.111
67,144.274
68,144.159
69,148.82
70,153.411
71,157.53
72,161.629
73,161.342
74,161.279
75,161.404
76,161.243
