window,gauge_vs_gt_after_A_deg,gauge_shape_err_deg
0,89.4298,88.3701
1,89.4425,88.2291
2,89.0186,87.7723
3,88.5729,87.3588
4,87.8628,86.7314
5,83.3041,82.2523
6,78.9332,77.9289
7,74.4304,73.4014
8,70.2253,69.0965
9,70.019,68.8243
10,69.6191,68.3819
11,69.3344,68.1187
12,68.8708,67.6845
13,64.3792,63.2018
14,59.979,58.8215
15,55.4277,54.2954
16,50.9438,49.8673
17,50.8134,49.8338
18,50.1006,49.1192
19,49.3954,48.4102
20,48.8109,47.7284
21,44.3022,43.1062
22,39.918,38.7016
23,35.384,34.3459
24,30.8367,30.2233
25,30.5488,30.2853
26,29.8676,29.7473
27,29.2387,29.0405
28,28.457,27.8938
29,23.8956,23.0133
30,19.669,18.8194
31,15.1495,15.0538
32,10.8475,12.557
33,10.7834,13.4678
34,10.4479,13.4248
35,10.0657,12.8693
36,9.7955,11.6529
37,5.9761,7.9434
38,3.7037,6.8995
39,5.1834,9.6089
40,9.053,13.9756
41,9.5699,15.5054
42,10.7776,16.5725
43,11.5641,16.9102
44,12.7381,17.1051
45,17.6459,20.6988
46,22.0629,24.664
47,26.4977,29.168
48,30.7678,33.8603
49,30.7407,34.2735
50,30.9482,34.6479
51,31.1029,34.7233
52,31.4166,34.795
53,36.073,39.024
54,40.3373,43.0498
55,44.5464,47.2667
56,48.6132,51.4537
57,48.7082,51.7379
58,48.9395,52.019
59,49.144,52.2027
60,49.3675,52.3327
61,53.8881,56.6699
62,58.2812,60.9458
63,62.6384,65.2664
64,66.811,69.4571
65,66.8812,69.5802
66,67.1324,69.8653
67,67.3351,70.0517
68,67.7152,70.4067
69,72.3376,74.9559
70,76.2814,78.8281
71,80.4433,82.8999
72,84.1081,86.4704
73,84.2009,86.4912
74,84.5728,86.8441
75,85.1831,87.4637
76,85.8599,88.1866
