i,j,k,h_ac,h_ab,h_bc,residual_deg
0,1,2,2,1,1,0.4829
0,1,3,3,1,2,1.1891
0,2,3,3,2,1,0.3991
1,2,3,2,1,1,0.3493
1,2,4,3,1,2,0.8299
1,3,4,3,2,1,0.6255
2,3,4,2,1,1,0.1335
2,3,5,3,1,2,0.3782
2,4,5,3,2,1,0.6315
3,4,5,2,1,1,0.3559
3,4,6,3,1,2,0.2062
3,5,6,3,2,1,0.274
4,5,6,2,1,1,0.3352
4,5,7,3,1,2,0.4206
4,6,7,3,2,1,0.7505
5,6,7,2,1,1,0.6187
5,6,8,3,1,2,1.4104
5,7,8,3,2,1,0.8327
6,7,8,2,1,1,0.4271
6,7,9,3,1,2,0.7348
6,8,9,3,2,1,1.6411
7,8,9,2,1,1,1.1658
7,8,10,3,1,2,1.505
7,9,10,3,2,1,0.9892
8,9,10,2,1,1,1.0345
8,9,11,3,1,2,2.1027
8,10,11,3,2,1,0.9458
9,10,11,2,1,1,0.1451
9,10,12,3,1,2,0.3205
9,11,12,3,2,1,0.3299
10,11,12,2,1,1,0.2055
10,11,13,3,1,2,0.5774
10,12,13,3,2,1,0.9229
11,12,13,2,1,1,0.172
11,12,14,3,1,2,0.35
11,13,14,3,2,1,1.2184
12,13,14,2,1,1,1.222
12,13,15,3,1,2,1.967
12,14,15,3,2,1,0.3684
13,14,15,2,1,1,1.0206
13,14,16,3,1,2,3.5654
13,15,16,3,2,1,2.9927
14,15,16,2,1,1,0.5785
14,15,17,3,1,2,1.0812
14,16,17,3,2,1,3.6963
15,16,17,2,1,1,2.1126
15,16,18,3,1,2,9.5472
15,17,18,3,2,1,0.3219
16,17,18,2,1,1,7.1813
16,17,19,3,1,2,14.0368
16,18,19,3,2,1,7.1644
17,18,19,2,1,1,0.3167
17,18,20,3,1,2,0.417
17,19,20,3,2,1,0.7809
18,19,20,2,1,1,0.1742
18,19,21,3,1,2,0.3762
18,20,21,3,2,1,0.346
19,20,21,2,1,1,0.3977
19,20,22,3,1,2,1.3992
19,21,22,3,2,1,1.9286
20,21,22,2,1,1,1.562
20,21,23,3,1,2,1.6896
20,22,23,3,2,1,1.3212
21,22,23,2,1,1,1.3971
21,22,24,3,1,2,4.1043
21,23,24,3,2,1,2.1947
22,23,24,2,1,1,0.5232
22,23,25,3,1,2,2.127
22,24,25,3,2,1,1.9189
23,24,25,2,1,1,0.1987
23,24,26,3,1,2,0.8324
23,25,26,3,2,1,0.5163
24,25,26,2,1,1,0.2983
24,25,27,3,1,2,0.6879
24,26,27,3,2,1,0.6563
25,26,27,2,1,1,0.276
25,26,28,3,1,2,0.5066
25,27,28,3,2,1,0.5162
26,27,28,2,1,1,0.0741
26,27,29,3,1,2,0.3247
26,28,29,3,2,1,0.2947
27,28,29,2,1,1,0.3611
27,28,30,3,1,2,0.1779
27,29,30,3,2,1,1.245
28,29,30,2,1,1,1.1618
28,29,31,3,1,2,1.3206
28,30,31,3,2,1,1.3953
29,30,31,2,1,1,1.5107
29,30,32,3,1,2,3.1708
29,31,32,3,2,1,1.4992
30,31,32,2,1,1,0.443
30,31,33,3,1,2,1.5809
30,32,33,3,2,1,1.4203
31,32,33,2,1,1,0.2843
31,32,34,3,1,2,0.7907
31,33,34,3,2,1,0.9381
32,33,34,2,1,1,0.592
32,33,35,3,1,2,1.3774
32,34,35,3,2,1,0.6174
33,34,35,2,1,1,0.3191
33,34,36,3,1,2,0.2181
33,35,36,3,2,1,0.3659
34,35,36,2,1,1,0.2404
34,35,37,3,1,2,0.6104
34,36,37,3,2,1,0.4528
35,36,37,2,1,1,0.3786
35,36,38,3,1,2,0.5857
35,37,38,3,2,1,0.194
36,37,38,2,1,1,0.373
36,37,39,3,1,2,0.8648
36,38,39,3,2,1,0.3938
37,38,39,2,1,1,0.5803
37,38,40,3,1,2,1.1123
37,39,40,3,2,1,0.6171
38,39,40,2,1,1,0.1696
38,39,41,3,1,2,1.0233
38,40,41,3,2,1,1.2818
39,40,41,2,1,1,0.5081
39,40,42,3,1,2,0.4011
39,41,42,3,2,1,1.0943
40,41,42,2,1,1,0.8888
40,41,43,3,1,2,1.5604
40,42,43,3,2,1,0.2924
41,42,43,2,1,1,0.7037
41,42,44,3,1,2,0.8972
41,43,44,3,2,1,0.4506
42,43,44,2,1,1,0.4213
42,43,45,3,1,2,0.6743
42,44,45,3,2,1,0.4602
43,44,45,2,1,1,0.5112
43,44,46,3,1,2,0.7484
43,45,46,3,2,1,0.6555
44,45,46,2,1,1,0.3137
44,45,47,3,1,2,0.7583
44,46,47,3,2,1,0.565
45,46,47,2,1,1,0.1206
45,46,48,3,1,2,0.5399
45,47,48,3,2,1,1.0222
46,47,48,2,1,1,0.4046
46,47,49,3,1,2,0.5618
46,48,49,3,2,1,0.6774
47,48,49,2,1,1,0.425
47,48,50,3,1,2,0.8012
47,49,50,3,2,1,1.2598
48,49,50,2,1,1,0.7489
48,49,51,3,1,2,0.9777
48,50,51,3,2,1,0.3843
49,50,51,2,1,1,0.2814
49,50,52,3,1,2,0.747
49,51,52,3,2,1,1.2948
50,51,52,2,1,1,0.4851
50,51,53,3,1,2,0.8652
50,52,53,3,2,1,1.0039
51,52,53,2,1,1,0.6135
51,52,54,3,1,2,1.3752
51,53,54,3,2,1,0.7078
52,53,54,2,1,1,0.1857
52,53,55,3,1,2,0.4156
52,54,55,3,2,1,0.6405
53,54,55,2,1,1,0.389
53,54,56,3,1,2,0.4247
53,55,56,3,2,1,0.6697
54,55,56,2,1,1,0.2865
54,55,57,3,1,2,0.4884
54,56,57,3,2,1,0.4287
55,56,57,2,1,1,0.2449
55,56,58,3,1,2,0.8135
55,57,58,3,2,1,0.9568
56,57,58,2,1,1,0.2383
56,57,59,3,1,2,0.5689
56,58,59,3,2,1,0.484
